Date of report,Days,Total,China,Death China,Other,Death Outside,Death Globally
01/20/20,21,282,278,6,4,0,6
01/21/20,22,346,341,6,4,0,6
01/23/20,24,581,571,17,7,0,17
01/24/20,25,846,830,25,11,0,25
01/25/20,26,1320,1297,41,23,0,41
01/26/20,27,2014,1985,56,29,0,56
01/27/20,28,2798,2761,80,37,0,80
01/28/20,29,4593,4537,106,56,0,106
01/29/20,30,6065,5997,132,68,0,132
01/30/20,31,7818,7736,170,82,0,170
01/31/20,32,9826,9720,213,106,0,213
02/01/2020,33,11953,11821,259,132,0,259
02/02/2020,34,14557,14411,304,146,1,305
02/03/2020,35,17391,17238,361,153,1,362
02/04/2020,36,20630,20471,425,159,1,426
02/05/2020,37,24554,24363,491,191,1,492
02/06/2020,38,28276,28060,564,216,1,565
02/07/2020,39,31481,31211,637,270,1,638
02/08/2020,40,34886,34598,723,288,1,724
02/09/2020,41,37558,37251,812,307,1,813
02/10/2020,42,40554,40235,909,319,1,910
02/11/2020,43,43103,42708,1017,395,1,1018
02/12/2020,44,45171,44730,1114,441,1,1115
02/13/20,45,46997,46550,1368,447,1,1369
02/14/20,46,49053,48548,1381,505,2,1383
02/15/20,47,50580,50054,1524,526,2,1526
02/16/20,48,51857,51174,1666,683,3,1669
02/17/20,49,71429,70635,1772,794,3,1775
02/18/20,50,73332,72528,1870,804,3,1873
02/19/20,51,75204,74280,2006,924,3,2009
02/20/20,52,75748,74675,2121,1073,8,2129
02/21/20,53,76769,75569,2239,1200,8,2247
02/22/20,54,77794,76392,2348,1402,11,2359
02/23/20,55,78811,77042,2445,1769,17,2462
02/24/20,56,79331,77262,2595,2069,23,2618
02/25/20,57,80239,77780,2666,2459,34,2700
02/26/20,58,81109,78191,2718,2918,44,2762
02/27/20,59,82294,78630,2747,3664,57,2804
02/28/20,60,83652,78961,2791,4691,67,2858
02/29/20,61,85403,79394,2838,6009,86,2924
03/01/2020,62,87137,79579,2873,7169,104,2977
